bookID,author,title
12262,Various,"Punch, or the London Charivari, Volume 99, September 27, 1890"
12263,Various,"Blackwood's Edinburgh Magazine — Volume 53, No. 331, May, 1843"
12264,"Benson, Arthur Christopher",Father Payne
12265,"England, George Allan",The Flying Legion
12269,"Bell, J. J. (John Joy)",Wee Macgreegor Enlists
prhsb10,"John Bangs",the House-Boat
rmlav10,"George Borrow",Romano Lavo-Lil
sesli10,"John Ruskin",Sesame and Lilies
utrkj10,"Bird",Unbeaten Tracks in Japan
wtrbs10,"Charles Kingsley",The Water-Babies
